,A,IndicesInteractionProtein,KnownProteins,MaxNumInteractionProtein,N,NumInteractionProtein,ProteinLabel,ProteinLabelPairs
236,0,,1,,,7,['YGR132C'],
237,0,,1,,,8,['YOR244W'],
238,0,,1,,,9,['YFL024C'],
239,0,,1,,,19,['YPL126W'],
240,0,,1,,,10,['YDR176W'],
241,0,,1,,,18,['YGL111W'],
242,0,,1,,,10,['YDR097C'],
243,0,,1,,,6,['YKR029C'],
244,0,,1,,,8,['YMR005W'],
245,0,,1,,,7,['YPL011C'],
246,0,,-1,,,15,['YDR190C'],
247,0,,1,,,7,['YOR340C'],
248,0,,1,,,9,['YOR341W'],
249,0,,1,,,7,['YKR025W'],
250,0,,1,,,4,['YLR314C'],
251,0,,1,,,4,['YHR107C'],
252,0,,1,,,5,['YLR148W'],
253,0,,1,,,9,['YHR167W'],
254,0,,1,,,9,['YDR138W'],
255,0,,1,,,5,['YGL092W'],
256,0,,1,,,5,['YDL116W'],
257,0,,1,,,5,['YNL261W'],
258,0,,1,,,4,['YPR162C'],
259,0,,1,,,9,['YPL181W'],
260,0,,1,,,7,['YDL076C'],
261,0,,1,,,9,['YML015C'],
262,0,,1,,,5,['YDR080W'],
263,0,,1,,,7,['YPL050C'],
264,0,,1,,,9,['YMR273C'],
265,0,,1,,,18,['YMR033W'],
266,1,,1,,,15,['YGL048C'],
267,0,,-1,,,8,['YGL207W'],
268,0,,1,,,4,['YPL018W'],
269,0,,1,,,4,['YGR179C'],
270,0,,1,,,4,['YLR381W'],
271,0,,1,,,6,['YJL081C'],
272,0,,1,,,5,['YML105C'],
273,0,,1,,,16,['YJL001W'],
274,0,,1,,,19,['YOL004W'],
275,0,,1,,,8,['YOR290C'],
276,0,,1,,,8,['YOR249C'],
277,0,,1,,,8,['YKL022C'],
278,0,,1,,,26,['YDR449C'],
279,0,,1,,,13,['YPR041W'],
280,0,,1,,,28,['YFL002C'],
281,0,,1,,,5,['YOR110W'],
282,0,,1,,,5,['YBR123C'],
283,0,,1,,,5,['YPL007C'],
284,0,,-1,,,31,['YCL059C'],
285,0,,1,,,5,['YLR127C'],
286,0,,1,,,9,['YDR443C'],
287,0,,-1,,,5,['YCR093W'],
288,0,,-1,,,4,['YGR134W'],
289,0,,-1,,,4,['YNL288W'],
290,0,,-1,,,5,['YDR430C'],
291,0,,-1,,,6,['YBR221C'],
292,0,,1,,,10,['YDL115C'],
293,0,,1,,,4,['YKL057C'],
294,0,,1,,,4,['YGL100W'],
295,0,,1,,,33,['YPL093W'],
296,0,,1,,,10,['YHR041C'],
297,0,,1,,,8,['YJL140W'],
298,0,,1,,,10,['YDR416W'],
299,0,,1,,,12,['YBR079C'],
300,0,,1,,,5,['YPL138C'],
301,0,,1,,,6,['YAR003W'],
302,0,,-1,,,5,['YAL021C'],
303,0,,1,,,4,['YNL258C'],
304,0,,1,,,5,['YPL237W'],
305,0,,1,,,4,['YNL172W'],
306,0,,1,,,4,['YHR166C'],
307,1,,1,,,26,['YOL038W'],
308,0,,1,,,5,['YPL086C'],
309,0,,1,,,4,['YGR200C'],
310,0,,1,,,4,['YHR187W'],
311,0,,1,,,6,['YEL051W'],
312,0,,1,,,7,['YOR332W'],
313,0,,1,,,12,['YGR274C'],
314,0,,1,,,5,['YNL312W'],
315,0,,1,,,4,['YLR015W'],
316,0,,1,,,13,['YNL251C'],
317,0,,1,,,11,['YPL190C'],
318,0,,-1,,,4,['YKL045W'],
319,0,,-1,,,4,['YNL102W'],
320,0,,-1,,,4,['YIR008C'],
321,0,,1,,,5,['YJR007W'],
322,0,,1,,,33,['YDR060W'],
323,0,,1,,,31,['YPL043W'],
324,0,,1,,,24,['YER082C'],
325,0,,1,,,6,['YDL160C'],
326,0,,1,,,17,['YJL203W'],
327,0,,1,,,15,['YPL213W'],
328,0,,1,,,8,['YJR063W'],
329,0,,1,,,17,['YHR197W'],
330,0,,-1,,,15,['YHR064C'],
331,0,,-1,,,13,['YGR285C'],
332,0,,1,,,49,['YBR247C'],
333,0,,1,,,26,['YPR137W'],
334,0,,1,,,10,['YML062C'],
335,0,,1,,,11,['YOR308C'],
336,0,,1,,,4,['YAL002W'],
337,0,,1,,,5,['YPR055W'],
338,0,,1,,,15,['YOR361C'],
339,0,,1,,,5,['YDR359C'],
340,0,,1,,,4,['YDR179C'],
341,0,,1,,,4,['YDL216C'],
342,0,,1,,,4,['YIL071C'],
343,0,,1,,,7,['YCR081W'],
344,0,,1,,,5,['YPL010W'],
345,0,,1,,,4,['YDL077C'],
346,0,,1,,,14,['YMR240C'],
347,0,,1,,,10,['YDR167W'],
348,0,,1,,,4,['YJR075W'],
349,0,,1,,,6,['YDR245W'],
350,0,,1,,,31,['YPL131W'],
351,0,,1,,,41,['YER029C'],
352,0,,1,,,16,['YPL178W'],
353,0,,1,,,18,['YHR088W'],
354,0,,1,,,20,['YBR245C'],
355,0,,1,,,19,['YPR187W'],
356,0,,1,,,4,['YPR029C'],
357,0,,1,,,4,['YKL135C'],
358,1,,1,,,11,['YDL007W'],
359,0,,1,,,4,['YDL051W'],
360,0,,1,,,4,['YLR170C'],
361,1,,1,,,16,['YDR394W'],
362,0,,1,,,4,['YOR115C'],
363,0,,1,,,4,['YDR108W'],
364,0,,1,,,8,['YGR020C'],
365,0,,1,,,10,['YBR127C'],
366,0,,1,,,30,['YDL148C'],
367,0,,-1,,,18,['YBR152W'],
368,0,,1,,,19,['YER126C'],
369,0,,-1,,,9,['YDL185W'],
